x,y,z,rho
-50,300,-50,67.0498
-50,300,-150,116.7849
-50,300,-250,167.0728
-50,300,-350,216.9710
-50,320,-50,67.9741
-50,320,-150,117.9878
-50,320,-250,168.2958
-50,320,-350,218.4304
-50,340,-50,69.1050
-50,340,-150,120.0555
-50,340,-250,169.7941
-50,340,-350,219.9088
-50,360,-50,70.0896
-50,360,-150,120.4586
-50,360,-250,170.1676
-50,360,-350,220.7723
-50,380,-50,70.1771
-50,380,-150,120.2540
-50,380,-250,170.2469
-50,380,-350,220.5667
-50,400,-50,70.6356
-50,400,-150,120.1678
-50,400,-250,170.0023
-50,400,-350,219.7254
-30,300,-50,69.4242
-30,300,-150,119.4348
-30,300,-250,169.4049
-30,300,-350,219.1384
-30,320,-50,70.7399
-30,320,-150,120.8699
-30,320,-250,171.5142
-30,320,-350,221.5655
-30,340,-50,72.4191
-30,340,-150,121.9266
-30,340,-250,172.7006
-30,340,-350,222.2954
-30,360,-50,72.5561
-30,360,-150,122.5589
-30,360,-250,172.9674
-30,360,-350,222.7882
-30,380,-50,72.7283
-30,380,-150,123.0513
-30,380,-250,172.8023
-30,380,-350,223.6082
-30,400,-50,72.6492
-30,400,-150,122.8880
-30,400,-250,172.7064
-30,400,-350,222.7426
-10,300,-50,74.1955
-10,300,-150,124.1181
-10,300,-250,174.4142
-10,300,-350,224.1531
-10,320,-50,75.2282
-10,320,-150,125.9266
-10,320,-250,175.6145
-10,320,-350,225.1008
-10,340,-50,76.2304
-10,340,-150,126.7173
-10,340,-250,176.9375
-10,340,-350,226.5801
-10,360,-50,77.1093
-10,360,-150,127.5450
-10,360,-250,177.7590
-10,360,-350,227.3317
-10,380,-50,77.0598
-10,380,-150,127.3255
-10,380,-250,177.4755
-10,380,-350,227.1530
-10,400,-50,77.2904
-10,400,-150,127.3073
-10,400,-250,176.7013
-10,400,-350,227.2589
10,300,-50,78.7503
10,300,-150,128.7879
10,300,-250,179.1727
10,300,-350,229.0870
10,320,-50,80.8770
10,320,-150,130.7857
10,320,-250,180.2168
10,320,-350,230.3234
10,340,-50,82.0428
10,340,-150,131.1184
10,340,-250,181.2774
10,340,-350,231.4388
10,360,-50,81.8653
10,360,-150,132.3448
10,360,-250,181.8628
10,360,-350,232.2263
10,380,-50,82.2527
10,380,-150,132.7068
10,380,-250,182.1552
10,380,-350,232.0847
10,400,-50,82.3867
10,400,-150,132.1042
10,400,-250,181.6294
10,400,-350,231.8010
30,300,-50,83.6709
30,300,-150,133.7107
30,300,-250,183.0204
30,300,-350,233.7304
30,320,-50,85.2121
30,320,-150,134.2539
30,320,-250,184.7742
30,320,-350,234.5094
30,340,-50,86.1931
30,340,-150,135.9137
30,340,-250,185.5566
30,340,-350,236.3099
30,360,-50,87.0770
30,360,-150,136.6396
30,360,-250,186.2747
30,360,-350,236.2551
30,380,-50,86.7443
30,380,-150,137.1373
30,380,-250,186.6057
30,380,-350,236.8088
30,400,-50,86.5227
30,400,-150,136.6591
30,400,-250,186.8588
30,400,-350,236.7376
50,300,-50,86.0180
50,300,-150,135.8459
50,300,-250,185.8316
50,300,-350,235.4099
50,320,-50,87.2932
50,320,-150,137.4154
50,320,-250,187.4462
50,320,-350,237.5847
50,340,-50,88.9503
50,340,-150,138.7272
50,340,-250,188.6114
50,340,-350,238.4504
50,360,-50,89.6344
50,360,-150,139.0933
50,360,-250,189.6233
50,360,-350,239.7461
50,380,-50,89.7219
50,380,-150,139.2380
50,380,-250,189.3155
50,380,-350,239.7950
50,400,-50,88.9272
50,400,-150,138.8087
50,400,-250,188.9217
50,400,-350,239.0352
