X,Y,Z,RHO
-40,340,-26.387,53.98255
-40,340,-27.96561429,56.90692
-40,340,-29.6367,59.95788
-40,340,-31.4056,63.09627
-40,340,-33.27792857,66.26
-40,340,-35.25958571,69.36296
-40,340,-37.35674286,72.30149
-40,340,-39.57587143,74.9665
-40,340,-41.92372857,77.25674
-40,340,-44.40741429,79.08911
-40,340,-47.03434286,80.40348
-40,340,-49.81231429,81.16221
-40,340,-52.74951429,81.34625
-40,340,-55.85455714,80.95035
-40,340,-59.13652857,79.97984
-40,340,-62.60502857,78.45002
-40,340,-66.2702,76.38857
-40,340,-70.14277143,73.83943
-40,340,-74.2341,70.86614
-40,340,-78.55624286,67.55203
-40,340,-83.12197143,63.9959
-40,340,-87.94482857,60.30361
-40,340,-93.03922857,56.57727
-40,340,-98.42041429,52.90523
-40,340,-104.1046286,49.35514
-40,340,-110.1090143,45.97156
-40,340,-116.4518286,42.77795
-40,340,-123.1523714,39.78176
-40,340,-130.2311143,36.98106
-40,340,-137.7098143,34.37066
-40,340,-145.6115714,31.9468
-40,340,-153.9608571,29.70948
-40,340,-162.7841429,27.66255
-40,340,-172.109,25.81213
-40,340,-181.9654286,24.16418
-40,340,-192.3851429,22.72202
-40,340,-203.402,21.48431
-40,340,-215.0517143,20.44373
-40,340,-227.3724286,19.58624
-40,340,-240.4041429,18.89086
-40,340,-254.1894286,18.33002
-40,340,-268.773,17.87046
-40,340,-284.2024286,17.47532
-40,340,-300.5278571,17.10779
-40,340,-317.8028571,16.73632
-40,340,-336.0842857,16.34086
-40,340,-355.4322857,15.91858
-40,340,-375.9115714,15.48713
-40,340,-397.5907143,15.08399
-40,340,-420.5428571,14.762
-40,340,-444.8457143,14.58278
-40,340,-470.582,14.61026
-40,340,-497.8394286,14.90629
-40,340,-526.7105714,15.52851
-40,340,-557.294,16.52967
-40,340,-589.6931429,17.95703
-40,340,-624.0175714,19.85094
-40,340,-660.3827143,22.24203
-40,340,-698.9105714,25.14626
-40,340,-739.7294286,28.55628
-40,360,-25.92597143,48.08789
-40,360,-27.47651429,50.54004
-40,360,-29.11798571,53.09735
-40,360,-30.85572857,55.73521
-40,360,-32.69532857,58.41265
-40,360,-34.6427,61.07157
-40,360,-36.704,63.64149
-40,360,-38.8857,66.04787
-40,360,-41.19455714,68.22066
-40,360,-43.63762857,70.09997
-40,360,-46.22231429,71.63759
-40,360,-48.95634286,72.79514
-40,360,-51.84787143,73.54053
-40,360,-54.90538571,73.84496
-40,360,-58.13787143,73.682
-40,360,-61.55478571,73.02966
-40,360,-65.16607143,71.87507
-40,360,-68.98227143,70.22073
-40,360,-73.0145,68.09017
-40,360,-77.27451429,65.53074
-40,360,-81.7748,62.61203
-40,360,-86.52854286,59.41978
-40,360,-91.54975714,56.04658
-40,360,-96.85327143,52.58211
-40,360,-102.4548429,49.1051
-40,360,-108.3712,45.67897
-40,360,-114.6200714,42.35129
-40,360,-121.2203143,39.15628
-40,360,-128.1919143,36.119
-40,360,-135.5561286,33.25947
-40,360,-143.3355714,30.59571
-40,360,-151.5541429,28.14506
-40,360,-160.2375714,25.92397
-40,360,-169.4128571,23.94669
-40,360,-179.109,22.22377
-40,360,-189.3567143,20.76085
-40,360,-200.1885714,19.5581
-40,360,-211.6392857,18.61029
-40,360,-223.7458571,17.90721
-40,360,-236.5471429,17.43413
-40,360,-250.0847143,17.17214
-40,360,-264.4024286,17.09819
-40,360,-279.5467143,17.18518
-40,360,-295.5671429,17.40244
-40,360,-312.5154286,17.71709
-40,360,-330.4471429,18.09658
-40,360,-349.4204286,18.51227
-40,360,-369.4971429,18.94312
-40,360,-390.7427143,19.37842
-40,360,-413.2261429,19.81805
-40,360,-437.0208571,20.26978
-40,360,-462.2041429,20.74414
-40,360,-488.8582857,21.24817
-40,360,-517.0698571,21.78043
-40,360,-546.931,22.32908
-40,360,-578.5391429,22.87438
-40,360,-611.9974286,23.39532
-40,360,-647.4154286,23.87821
-40,360,-684.9087143,24.32355
-40,360,-724.6001429,24.74771
-40,380,-25.81311429,48.97284
-40,380,-27.35765714,51.35555
-40,380,-28.99285714,53.83912
