SAMPLE_IDS,POINT_ID,LINE_ID,X_LOCAL_M,Y_LOCAL_M,DEPTH_M,Z_LOCAL_M,VX_KM_S,N_MERGED
W9:90,W9,L1,-750,220,3802.083000,-3802.083000,2.074999000,1
W9:89,W9,L1,-750,220,3471.154000,-3471.154000,2.025541000,1
W9:88,W9,L1,-750,220,3160.714000,-3160.714000,2.140959000,1
W9:87,W9,L1,-750,220,2500.000000,-2500.000000,2.955994000,1
W9:86,W9,L1,-750,220,2226.563000,-2226.563000,2.091863000,1
W9:85,W9,L1,-750,220,1992.647000,-1992.647000,2.005063000,1
W9:84,W9,L1,-750,220,1819.444000,-1819.444000,1.804918000,1
W9:83,W9,L1,-750,220,1644.737000,-1644.737000,1.861585000,1
W9:82,W9,L1,-750,220,1506.250000,-1506.250000,1.720827000,1
W9:81,W9,L1,-750,220,1404.762000,-1404.762000,1.531432000,1
W9:80,W9,L1,-750,220,1289.773000,-1289.773000,1.671348000,1
W9:79,W9,L1,-750,220,1168.478000,-1168.478000,1.721795000,1
W9:78,W9,L1,-750,220,1057.292000,-1057.292000,1.662539000,1
W9:77,W9,L1,-750,220,940.000000,-940.000000,1.670973000,1
W9:76,W9,L1,-750,220,817.308000,-817.308000,1.640870000,1
W9:75,W9,L1,-750,220,736.111000,-736.111000,1.387696000,1
W9:74,W9,L1,-750,220,709.821000,-709.821000,0.795000000,1
W9:73,W9,L1,-750,220,629.310000,-629.310000,1.380567000,1
W9:72,W9,L1,-750,220,600.000000,-600.000000,0.923086000,1
W9:71,W9,L1,-750,220,576.613000,-576.613000,0.836816000,1
W9:70,W9,L1,-750,220,554.688000,-554.688000,0.834780000,1
W9:69,W9,L1,-750,220,534.091000,-534.091000,0.832693000,1
W9:68,W9,L1,-750,220,507.353000,-507.353000,0.979104000,1
W9:67,W9,L1,-750,220,467.857000,-467.857000,1.137700000,1
W9:66,W9,L1,-750,220,434.028000,-434.028000,1.064836000,1
W9:65,W9,L1,-750,220,415.541000,-415.541000,0.839126000,1
W9:64,W9,L1,-750,220,384.868000,-384.868000,1.024740000,1
W9:63,W9,L1,-750,220,320.513000,-320.513000,1.216858000,1
W9:62,W9,L1,-750,220,312.500000,-312.500000,0.500000000,1
W9:61,W9,L1,-750,220,292.683000,-292.683000,0.814046000,1
W9:60,W9,L1,-750,220,279.762000,-279.762000,0.691664000,1
W9:59,W9,L1,-750,220,270.349000,-270.349000,0.605735000,1
W9:58,W9,L1,-750,220,261.364000,-261.364000,0.602572000,1
W9:57,W9,L1,-750,220,252.778000,-252.778000,0.599355000,1
W9:56,W9,L1,-750,220,244.565000,-244.565000,0.596083000,1
W9:55,W9,L1,-750,220,239.362000,-239.362000,0.450000000,1
W9:54,W9,L1,-750,220,218.750000,-218.750000,0.843326000,1
W9:53,W9,L1,-750,220,214.286000,-214.286000,0.420000000,1
W9:46,W9,L1,-750,220,212.054000,-212.054000,0.735407000,1
W9:45,W9,L1,-750,220,210.526000,-210.526000,0.516259000,1
W9:47,W9,L1,-750,220,209.091000,-209.091000,0.772638000,1
W9:52,W9,L1,-750,220,207.500000,-207.500000,0.565736000,1
W9:49,W9,L1,-750,220,205.189000,-205.189000,0.812588000,1
W9:48,W9,L1,-750,220,203.704000,-203.704000,0.479722000,1
W9:51,W9,L1,-750,220,200.980000,-200.980000,0.562135000,1
W9:44,W9,L1,-750,220,200.431000,-200.431000,0.802114000,1
W9:50,W9,L1,-750,220,194.712000,-194.712000,0.558480000,1
W9:43,W9,L1,-750,220,188.559000,-188.559000,0.834102000,1
W9:42,W9,L1,-750,220,181.250000,-181.250000,0.700127000,1
W9:41,W9,L1,-750,220,170.082000,-170.082000,0.797491000,1
W9:40,W9,L1,-750,220,161.290000,-161.290000,0.725739000,1
W9:39,W9,L1,-750,220,158.730000,-158.730000,0.400000000,1
W9:38,W9,L1,-750,220,158.203000,-158.203000,0.487681000,1
W9:37,W9,L1,-750,220,150.000000,-150.000000,0.719619000,1
