X,Y,Z,CH4_content
3835.233,5724.903,132.6055,9.25
3835.233,5724.903,132.8150,10.42
3557.969,6022.742,133.8600,5.71
2824.466,6769.742,138.5670,12.49
2824.466,6769.742,138.8120,11.02
3555.773,4417.900,121.0375,0.07
3555.773,4417.900,121.1775,0.05
1179.640,2507.981,133.7800,3.61
1179.640,2507.981,133.8920,7.97
2851.936,5864.663,153.8950,20.53
2851.936,5864.663,154.1350,19.36
3122.589,6699.604,126.8700,20.05
2943.851,3165.893,150.9840,21.71
2943.851,3165.893,151.4640,16.07
2943.851,3165.893,151.7580,21.55
2943.851,3165.893,152.0480,12.46
3384.470,5926.201,139.8200,22.07
3384.470,5926.201,140.2900,14.77
1265.097,2677.375,131.3000,10.12
1265.097,2677.375,131.7900,14.05
1265.097,2677.375,132.1400,10.88
1732.357,3346.616,136.4400,14.10
3251.007,4354.766,141.3575,16.46
3251.007,4354.766,141.5775,15.16
3251.007,4354.766,141.8925,15.61
2933.531,6599.301,137.3075,13.69
2933.531,6599.301,137.5275,23.86
2933.531,6599.301,137.7775,34.30
2546.077,6618.018,163.8010,20.01
2546.077,6618.018,164.0160,30.08
1046.623,2582.050,141.8250,28.15
1046.623,2582.050,141.9440,16.11
1375.717,3086.397,142.0700,25.82
1375.717,3086.397,142.4900,21.64
1023.802,3045.544,175.6560,27.64
3545.060,1049.716,161.0270,12.37
3545.060,1049.716,161.1450,9.22
3060.782,6210.548,138.0475,29.06
3060.782,6210.548,138.4075,18.77
4016.788,3006.248,145.2885,20.63
4016.788,3006.248,145.4075,21.38
4016.788,3006.248,145.7425,28.58
3377.077,4511.291,126.4200,7.28
3377.077,4511.291,126.7200,7.95
3219.029,6512.560,124.0900,8.34
3219.029,6512.560,124.5700,4.94
1579.431,3426.241,149.9700,5.33
1579.431,3426.241,150.1100,4.66
3552.110,6254.266,126.1400,13.70
2414.371,7688.731,141.3230,4.30
2414.371,7688.731,141.4080,3.29
3125.714,5549.403,146.3750,12.28
3125.714,5549.403,146.5850,12.14
3125.714,5549.403,146.8420,16.42
2996.190,6865.579,127.1580,6.59
2627.595,6887.715,150.1500,10.44
2627.595,6887.715,150.2600,9.90
2627.595,6887.715,150.4300,14.90
